word,subject,object,verb,adverb,translation
we,TRUE,FALSE,FALSE,FALSE,person
us,FALSE,TRUE,FALSE,FALSE,person
she,TRUE,FALSE,FALSE,FALSE,person
her,FALSE,TRUE,FALSE,FALSE,person
they,TRUE,FALSE,FALSE,FALSE,person
them,FALSE,TRUE,FALSE,FALSE,person
he,TRUE,FALSE,FALSE,FALSE,person
him,FALSE,TRUE,FALSE,FALSE,person
i,TRUE,FALSE,FALSE,FALSE,person
me,FALSE,TRUE,FALSE,FALSE,person
unity,TRUE,TRUE,FALSE,FALSE,unity
unite,FALSE,FALSE,TRUE,FALSE,unity
together,FALSE,FALSE,FALSE,TRUE,unity
harmonize,FALSE,FALSE,TRUE,FALSE,unity
harmony,TRUE,TRUE,FALSE,FALSE,unity
communication,TRUE,TRUE,FALSE,FALSE,communication
communicate,FALSE,FALSE,TRUE,FALSE,communication
thought,TRUE,TRUE,FALSE,FALSE,communication
think,FALSE,FALSE,TRUE,FALSE,communication
speak,FALSE,FALSE,TRUE,FALSE,communication
world,TRUE,TRUE,FALSE,FALSE,life
life,TRUE,TRUE,FALSE,FALSE,life
existance,TRUE,TRUE,FALSE,FALSE,life
live,FALSE,FALSE,TRUE,FALSE,life
center,TRUE,TRUE,FALSE,FALSE,center
axis,TRUE,TRUE,FALSE,FALSE,axis
gravity,TRUE,TRUE,FALSE,FALSE,gravity
gravitate,FALSE,FALSE,TRUE,FALSE,gravity
distance,TRUE,TRUE,TRUE,FALSE,distance
feeling,TRUE,TRUE,FALSE,FALSE,feeling
feel,FALSE,FALSE,TRUE,FALSE,feeling
connect,FALSE,FALSE,TRUE,FALSE,connection
connection,TRUE,TRUE,FALSE,FALSE,connection
connected,FALSE,FALSE,FALSE,TRUE,connection
move,FALSE,FALSE,TRUE,FALSE,movement
rotation,TRUE,TRUE,FALSE,FALSE,movement
rotate,FALSE,FALSE,TRUE,FALSE,movement
movement,TRUE,TRUE,FALSE,FALSE,movement
cycle,TRUE,TRUE,FALSE,FALSE,movement
